time,action,target_distance,origin_distance,velocity.north,velocity.east,velocity.down,battery,current_lat,current_lon,current_alt,origin_lat,origin_lon,origin_alt,target_lat,target_lon,target_alt,onWater,bad_connection,is_armed,goals,scenario_name
04:53:35,,,,,,,,,,,-3.7864655,-38.5530573,0.07300000637769699,-3.7867,-38.551971,5,,,False,,
04:53:36,,123.23978486963813,0.07766653925813055,0.019999999552965164,0.0,0.009999999776482582,,-3.7864655,-38.5530566,0.1,-3.7864655,-38.5530573,0.07300000637769699,-3.7867,-38.551971,5,,,False,,
04:53:37,,123.22045047848187,0.10047417293550448,0.019999999552965164,0.0,0.009999999776482582,,-3.7864654,-38.5530565,0.2,-3.7864655,-38.5530573,0.07300000637769699,-3.7867,-38.551971,5,,False,False,,
04:53:38,,123.26004648288296,0.0800626655856955,0.019999999552965164,0.0,0.009999999776482582,100.0,-3.7864651,-38.5530567,0.2,-3.7864655,-38.5530573,0.07300000637769699,-3.7867,-38.551971,5,,False,False,,
04:53:39,,123.33359590898445,0.03515525509400581,0.019999999552965164,0.0,0.009999999776482582,100.0,-3.7864652,-38.5530574,0.2,-3.7864655,-38.5530573,0.07300000637769699,-3.7867,-38.551971,5,,False,False,,
04:53:40,,123.37697132389748,0.06473318810453217,0.019999999552965164,0.0,0.009999999776482582,100.0,-3.7864652,-38.5530578,0.3,-3.7864655,-38.5530573,0.07300000637769699,-3.7867,-38.551971,5,,False,False,,Arm
04:53:41,,123.32183838289386,0.024853095903819074,0.019999999552965164,0.0,0.009999999776482582,100.0,-3.7864657,-38.5530574,0.1,-3.7864655,-38.5530573,0.07300000637769699,-3.7867,-38.551971,5,,False,True,,TakeOff
04:53:42,,123.28080996257327,0.03509384959710587,0.019999999552965164,0.0,0.009999999776482582,99.0,-3.7864655999999997,-38.553056999999995,-0.0,-3.7864655,-38.5530573,0.07300000637769699,-3.7867,-38.551971,5,,False,True,,TakeOff
04:55:21,,,,,,,,,,,-3.7864658999999996,-38.5530568,-0.05900000408291817,-3.7867,-38.551971,5,,,False,,
04:55:22,,123.28841323148498,0.05551982075289982,-0.009999999776482582,0.009999999776482582,0.019999999552965164,,-3.7864662,-38.5530572,-0.1,-3.7864658999999996,-38.5530568,-0.05900000408291817,-3.7867,-38.551971,5,,,False,,
04:55:23,,123.25500808946381,0.09168192345218754,-0.009999999776482582,0.009999999776482582,0.019999999552965164,,-3.7864666999999996,-38.553056999999995,-0.2,-3.7864658999999996,-38.5530568,-0.05900000408291817,-3.7867,-38.551971,5,,False,False,,
04:55:24,,123.26585479498522,0.09497944306132779,0.0,0.009999999776482582,0.019999999552965164,100.0,-3.7864666999999996,-38.5530571,-0.3,-3.7864658999999996,-38.5530568,-0.05900000408291817,-3.7867,-38.551971,5,,False,False,,
04:55:25,,123.26437717065193,0.049706191449966144,0.0,0.009999999776482582,0.019999999552965164,100.0,-3.7864663,-38.553056999999995,-0.4,-3.7864658999999996,-38.5530568,-0.05900000408291817,-3.7867,-38.551971,5,,False,False,,
04:55:26,,123.26672183731266,0.04006499281604743,0.0,0.009999999776482582,0.019999999552965164,100.0,-3.7864662,-38.553056999999995,-0.3,-3.7864658999999996,-38.5530568,-0.05900000408291817,-3.7867,-38.551971,5,,False,False,,Arm
04:55:27,,123.29075844391379,0.04964106071306326,0.0,0.009999999776482582,0.019999999552965164,100.0,-3.7864660999999997,-38.5530572,0.1,-3.7864658999999996,-38.5530568,-0.05900000408291817,-3.7867,-38.551971,5,,False,True,,TakeOff
04:55:28,,123.28460664329931,0.033285659216183545,0.0,0.009999999776482582,0.019999999552965164,99.0,-3.7864658999999996,-38.5530571,0.0,-3.7864658999999996,-38.5530568,-0.05900000408291817,-3.7867,-38.551971,5,,False,True,,TakeOff
04:55:29,,123.2426855422678,0.04447797068379272,0.0,0.009999999776482582,0.019999999552965164,99.0,-3.7864663,-38.5530568,0.0,-3.7864658999999996,-38.5530568,-0.05900000408291817,-3.7867,-38.551971,5,,False,True,,TakeOff
04:55:30,,123.28138334414344,0.08012998602336466,0.0,0.009999999776482582,0.019999999552965164,96.0,-3.7864665,-38.5530572,0.7,-3.7864658999999996,-38.5530568,-0.05900000408291817,-3.7867,-38.551971,5,,False,True,,TakeOff
04:55:31,,123.34029926946826,0.10931471087685911,0.0,0.009999999776482582,0.019999999552965164,96.0,-3.7864663,-38.5530577,2.5,-3.7864658999999996,-38.5530568,-0.05900000408291817,-3.7867,-38.551971,5,,False,True,,TakeOff
04:55:32,,123.23183979429878,0.045840961846076854,0.0,0.009999999776482582,0.019999999552965164,93.0,-3.7864663,-38.5530567,3.3,-3.7864658999999996,-38.5530568,-0.05900000408291817,-3.7867,-38.551971,5,,False,True,,TakeOff
04:55:54,,,,,,,,,,,-3.7864647,-38.5530566,-0.27000001072883606,-3.7867,-38.551971,5,,,False,,
04:55:55,,123.24684722615794,0.05559746333005067,0.03999999910593033,0.009999999776482582,0.05999999865889549,100.0,-3.7864652,-38.5530566,-0.3,-3.7864647,-38.5530566,-0.27000001072883606,-3.7867,-38.551971,5,,,False,,
04:55:56,,123.23978486963813,0.08895594131820497,0.03999999910593033,0.009999999776482582,0.05999999865889549,100.0,-3.7864655,-38.5530566,-0.3,-3.7864647,-38.5530566,-0.27000001072883606,-3.7867,-38.551971,5,,False,False,,
04:55:57,,123.2233395828904,0.166792389990152,0.03999999910593033,0.009999999776482582,0.05999999865889549,100.0,-3.7864662,-38.5530566,-0.3,-3.7864647,-38.5530566,-0.27000001072883606,-3.7867,-38.551971,5,,False,False,,
04:56:36,,,,,,,,,,,-3.786466,-38.5530574,-0.25,-3.7867,-38.551971,5,,,False,,
04:56:37,,123.33648628464566,0.022190439212104868,-0.009999999776482582,0.0,0.04999999701976776,,-3.786466,-38.553057599999995,-0.3,-3.786466,-38.5530574,-0.25,-3.7867,-38.551971,5,,,False,,
04:56:38,,123.29691494725003,0.03515525509076992,-0.009999999776482582,0.0,0.04999999701976776,,-3.7864663,-38.5530573,-0.3,-3.786466,-38.5530574,-0.25,-3.7867,-38.551971,5,,False,False,,
04:56:39,,123.2596907128503,0.07113888133261702,-0.009999999776482582,0.0,0.04999999701976776,100.0,-3.7864665,-38.553056999999995,-0.3,-3.786466,-38.5530574,-0.25,-3.7867,-38.551971,5,,False,False,,
04:56:40,,123.32945312223565,0.04006499277351313,-0.009999999776482582,-0.009999999776482582,0.04999999701976776,100.0,-3.7864663,-38.553057599999995,-0.4,-3.786466,-38.5530574,-0.25,-3.7867,-38.551971,5,,False,False,,
04:56:41,,123.31392262324216,0.05669375481936982,-0.009999999776482582,-0.009999999776482582,0.04999999701976776,100.0,-3.7864665,-38.5530575,-0.4,-3.786466,-38.5530574,-0.25,-3.7867,-38.551971,5,,False,False,,Arm
04:56:42,,123.27991293094477,0.03509384957887216,-0.019999999552965164,-0.009999999776482582,0.04999999701976776,100.0,-3.7864660999999997,-38.5530571,0.0,-3.786466,-38.5530574,-0.25,-3.7867,-38.551971,5,,False,True,,TakeOff
